op_unique_carrier,fl_date,arr_delay
9E,2018-01-01,4348
9E,2018-01-02,2695
9E,2018-01-03,632
9E,2018-01-04,-557
9E,2018-01-05,19056
9E,2018-01-06,3599
9E,2018-01-07,4051
9E,2018-01-08,19492
9E,2018-01-09,3278
9E,2018-01-10,-3891
9E,2018-01-11,127
9E,2018-01-12,28294
9E,2018-01-13,6351
9E,2018-01-14,-3089
9E,2018-01-15,9013
9E,2018-01-16,1524
9E,2018-01-17,20188
9E,2018-01-18,6563
9E,2018-01-19,-7615
9E,2018-01-20,-6625
9E,2018-01-21,-8700
9E,2018-01-22,-6595
9E,2018-01-23,4118
9E,2018-01-24,-5955
9E,2018-01-25,-7768
9E,2018-01-26,-12233
9E,2018-01-27,-4860
9E,2018-01-28,-5548
9E,2018-01-29,3599
9E,2018-01-30,1705
9E,2018-01-31,-10046
9E,2018-02-01,-8618
9E,2018-02-02,8057
9E,2018-02-03,-3565
9E,2018-02-04,67
9E,2018-02-05,691
9E,2018-02-06,-7014
9E,2018-02-07,32272
9E,2018-02-08,-2060
9E,2018-02-09,5622
9E,2018-02-10,1731
9E,2018-02-11,28680
9E,2018-02-12,5800
9E,2018-02-13,-9355
9E,2018-02-14,-7301
9E,2018-02-15,11198
9E,2018-02-16,6976
9E,2018-02-17,3025
9E,2018-02-18,-4138
9E,2018-02-19,4421
9E,2018-02-20,11499
9E,2018-02-21,8334
9E,2018-02-22,11333
9E,2018-02-23,1257
9E,2018-02-24,53
9E,2018-02-25,3719
9E,2018-02-26,-2947
9E,2018-02-27,-7347
9E,2018-02-28,-7781
9E,2018-03-01,10387
9E,2018-03-02,5507
9E,2018-03-03,3425
9E,2018-03-04,966
9E,2018-03-05,9645
9E,2018-03-06,2896
9E,2018-03-07,183
9E,2018-03-08,9583
9E,2018-03-09,8390
9E,2018-03-10,-2431
9E,2018-03-11,1240
9E,2018-03-12,4608
9E,2018-03-13,3533
9E,2018-03-14,-127
9E,2018-03-15,-2088
9E,2018-03-16,2489
9E,2018-03-17,-4368
9E,2018-03-18,-6755
9E,2018-03-19,-2655
9E,2018-03-20,3338
9E,2018-03-21,1669
9E,2018-03-22,16107
9E,2018-03-23,2189
9E,2018-03-24,-2274
9E,2018-03-25,-4826
9E,2018-03-26,-3815
9E,2018-03-27,-4288
9E,2018-03-28,-810
9E,2018-03-29,8369
9E,2018-03-30,9111
9E,2018-03-31,-2946
9E,2018-04-01,-5461
9E,2018-04-02,24191
9E,2018-04-03,19120
9E,2018-04-04,27700
9E,2018-04-05,5327
9E,2018-04-06,5856
9E,2018-04-07,-2360
9E,2018-04-08,-2645
9E,2018-04-09,4775
9E,2018-04-10,-4846
9E,2018-04-11,-5128
9E,2018-04-12,-5504
9E,2018-04-13,874
9E,2018-04-14,723
9E,2018-04-15,34526
9E,2018-04-16,39711
9E,2018-04-17,2289
9E,2018-04-18,-6486
9E,2018-04-19,3483
9E,2018-04-20,-3297
9E,2018-04-21,-4483
9E,2018-04-22,-4468
9E,2018-04-23,-1145
9E,2018-04-24,-8337
9E,2018-04-25,18825
9E,2018-04-26,817
9E,2018-04-27,12094
9E,2018-04-28,3843
9E,2018-04-29,-6506
9E,2018-04-30,-5672
9E,2018-05-01,-7240
9E,2018-05-02,-3550
9E,2018-05-03,7764
9E,2018-05-04,-154
9E,2018-05-05,-3406
9E,2018-05-06,-2168
9E,2018-05-07,-8497
9E,2018-05-08,-8196
9E,2018-05-09,-6088
9E,2018-05-10,17636
9E,2018-05-11,1963
9E,2018-05-12,-2883
9E,2018-05-13,-4765
9E,2018-05-14,7104
9E,2018-05-15,20708
9E,2018-05-16,20137
9E,2018-05-17,8517
9E,2018-05-18,3702
9E,2018-05-19,1520
9E,2018-05-20,1912
9E,2018-05-21,-3042
9E,2018-05-22,6135
9E,2018-05-23,-3407
9E,2018-05-24,-5840
9E,2018-05-25,-6983
9E,2018-05-26,-3435
9E,2018-05-27,-225
9E,2018-05-28,-2603
9E,2018-05-29,763
9E,2018-05-30,-2962
9E,2018-05-31,16509
9E,2018-06-01,31830
9E,2018-06-02,5441
9E,2018-06-03,1880
9E,2018-06-04,-3495
9E,2018-06-05,-5548
9E,2018-06-06,-8094
9E,2018-06-07,-9228
9E,2018-06-08,-4907
9E,2018-06-09,17
9E,2018-06-10,833
9E,2018-06-11,3335
9E,2018-06-12,-6979
9E,2018-06-13,-518
9E,2018-06-14,-2447
9E,2018-06-15,2801
9E,2018-06-16,-1729
9E,2018-06-17,-4035
9E,2018-06-18,5629
9E,2018-06-19,7113
9E,2018-06-20,-2410
9E,2018-06-21,-3173
9E,2018-06-22,3179
9E,2018-06-23,1647
9E,2018-06-24,11148
9E,2018-06-25,29118
9E,2018-06-26,3026
9E,2018-06-27,1014
9E,2018-06-28,35989
9E,2018-06-29,2702
9E,2018-06-30,-2452
9E,2018-07-01,-5847
9E,2018-07-02,-434
9E,2018-07-03,582
9E,2018-07-04,1195
9E,2018-07-05,1032
9E,2018-07-06,6345
9E,2018-07-07,-7588
9E,2018-07-08,-6730
9E,2018-07-09,-7881
9E,2018-07-10,-7429
9E,2018-07-11,-8312
9E,2018-07-12,2671
9E,2018-07-13,-6326
9E,2018-07-14,-4294
9E,2018-07-15,26867
9E,2018-07-16,15693
9E,2018-07-17,21250
9E,2018-07-18,-40
9E,2018-07-19,-4703
9E,2018-07-20,4400
9E,2018-07-21,3409
9E,2018-07-22,13675
9E,2018-07-23,36383
9E,2018-07-24,29337
9E,2018-07-25,19262
9E,2018-07-26,2504
9E,2018-07-27,15424
9E,2018-07-28,1052
9E,2018-07-29,409
9E,2018-07-30,1560
9E,2018-07-31,9814
9E,2018-08-01,28744
9E,2018-08-02,28510
9E,2018-08-03,23196
9E,2018-08-04,3195
9E,2018-08-05,-7740
9E,2018-08-06,4156
9E,2018-08-07,22795
9E,2018-08-08,15210
9E,2018-08-09,10087
9E,2018-08-10,1196
9E,2018-08-11,29523
9E,2018-08-12,15136
9E,2018-08-13,30432
9E,2018-08-14,23316
9E,2018-08-15,11562
9E,2018-08-16,-594
9E,2018-08-17,15646
9E,2018-08-18,8069
9E,2018-08-19,-1432
9E,2018-08-20,4817
9E,2018-08-21,2845
9E,2018-08-22,-6065
9E,2018-08-23,-1340
9E,2018-08-24,-6443
9E,2018-08-25,-2615
9E,2018-08-26,-7867
9E,2018-08-27,-8055
9E,2018-08-28,-5037
9E,2018-08-29,-5377
9E,2018-08-30,-5777
9E,2018-08-31,7947
9E,2018-09-01,-2723
9E,2018-09-02,-6037
9E,2018-09-03,-517
9E,2018-09-04,-5764
9E,2018-09-05,-6415
9E,2018-09-06,15087
9E,2018-09-07,4167
9E,2018-09-08,-4784
9E,2018-09-09,-1994
9E,2018-09-10,13421
9E,2018-09-11,-4311
9E,2018-09-12,6723
9E,2018-09-13,401
9E,2018-09-14,-2904
9E,2018-09-15,-3624
9E,2018-09-16,-7208
9E,2018-09-17,-3881
9E,2018-09-18,28024
9E,2018-09-19,-929
9E,2018-09-20,7120
9E,2018-09-21,4160
9E,2018-09-22,-3746
9E,2018-09-23,-5541
9E,2018-09-24,1016
9E,2018-09-25,14927
9E,2018-09-26,23629
9E,2018-09-27,2763
9E,2018-09-28,4706
9E,2018-09-29,-4456
9E,2018-09-30,-7011
9E,2018-10-01,-1110
9E,2018-10-02,4612
9E,2018-10-03,3004
9E,2018-10-04,-1289
9E,2018-10-05,2299
9E,2018-10-06,-1227
9E,2018-10-07,-5684
9E,2018-10-08,7298
9E,2018-10-09,-2119
9E,2018-10-10,-1514
9E,2018-10-11,33700
9E,2018-10-12,16312
9E,2018-10-13,-1060
9E,2018-10-14,-3523
9E,2018-10-15,5432
9E,2018-10-16,340
9E,2018-10-17,-1735
9E,2018-10-18,1821
9E,2018-10-19,-1500
9E,2018-10-20,266
9E,2018-10-21,2967
9E,2018-10-22,-4089
9E,2018-10-23,-2093
9E,2018-10-24,-3936
9E,2018-10-25,799
9E,2018-10-26,2870
9E,2018-10-27,256
9E,2018-10-28,-4618
9E,2018-10-29,-5741
9E,2018-10-30,-6768
9E,2018-10-31,-6396
9E,2018-11-01,122
9E,2018-11-02,3541
9E,2018-11-03,-2490
9E,2018-11-04,-7219
9E,2018-11-05,7214
9E,2018-11-06,11366
9E,2018-11-07,-3350
9E,2018-11-08,3687
9E,2018-11-09,16156
9E,2018-11-10,-2025
9E,2018-11-11,-6466
9E,2018-11-12,7973
9E,2018-11-13,18965
9E,2018-11-14,3650
9E,2018-11-15,19969
9E,2018-11-16,36569
9E,2018-11-17,-1599
9E,2018-11-18,-4747
9E,2018-11-19,-1844
9E,2018-11-20,-1507
9E,2018-11-21,-1834
9E,2018-11-22,-3142
9E,2018-11-23,-3470
9E,2018-11-24,-1890
9E,2018-11-25,11886
9E,2018-11-26,22891
9E,2018-11-27,2466
9E,2018-11-28,1889
9E,2018-11-29,-3723
9E,2018-11-30,-9063
9E,2018-12-01,-1626
9E,2018-12-02,20480
9E,2018-12-03,-465
9E,2018-12-04,-8255
9E,2018-12-05,-6455
9E,2018-12-06,-7514
9E,2018-12-07,-3453
9E,2018-12-08,-3708
9E,2018-12-09,-5576
9E,2018-12-10,1704
9E,2018-12-11,-7925
9E,2018-12-12,-9136
9E,2018-12-13,-3123
9E,2018-12-14,1851
9E,2018-12-15,-3950
9E,2018-12-16,-3452
9E,2018-12-17,1359
9E,2018-12-18,-4976
9E,2018-12-19,-9043
9E,2018-12-20,-1884
9E,2018-12-21,32971
9E,2018-12-22,-179
9E,2018-12-23,-8491
9E,2018-12-24,-6398
9E,2018-12-25,-6503
9E,2018-12-26,-4590
9E,2018-12-27,12678
9E,2018-12-28,34962
9E,2018-12-29,11320
9E,2018-12-30,2537
9E,2018-12-31,2190
9E,2019-01-01,-3533
9E,2019-01-02,-3796
9E,2019-01-03,-8503
9E,2019-01-04,-5744
9E,2019-01-05,-5741
9E,2019-01-06,-4874
9E,2019-01-07,-7852
9E,2019-01-08,-5660
9E,2019-01-09,-2156
9E,2019-01-10,7862
9E,2019-01-11,1396
9E,2019-01-12,1162
9E,2019-01-13,5632
9E,2019-01-14,-4415
9E,2019-01-15,-2373
9E,2019-01-16,-8649
9E,2019-01-17,6351
9E,2019-01-18,15376
9E,2019-01-19,6176
9E,2019-01-20,2925
9E,2019-01-21,18234
9E,2019-01-22,-2612
9E,2019-01-23,27961
9E,2019-01-24,39195
9E,2019-01-25,17187
9E,2019-01-26,-4282
9E,2019-01-27,-2716
9E,2019-01-28,-6071
9E,2019-01-29,-1318
9E,2019-01-30,14161
9E,2019-01-31,2848
9E,2019-02-01,-2414
9E,2019-02-02,-4209
9E,2019-02-03,-3918
9E,2019-02-04,-4578
9E,2019-02-05,-6514
9E,2019-02-06,-3774
9E,2019-02-07,11046
9E,2019-02-08,3964
9E,2019-02-09,-4459
9E,2019-02-10,1395
9E,2019-02-11,5667
9E,2019-02-12,14721
9E,2019-02-13,2369
9E,2019-02-14,-6858
9E,2019-02-15,-5749
9E,2019-02-16,-4741
9E,2019-02-17,-849
9E,2019-02-18,4278
9E,2019-02-19,788
9E,2019-02-20,33791
9E,2019-02-21,11162
9E,2019-02-22,7636
9E,2019-02-23,275
9E,2019-02-24,7905
9E,2019-02-25,20410
9E,2019-02-26,4092
9E,2019-02-27,-7440
9E,2019-02-28,3256
9E,2019-03-01,23080
9E,2019-03-02,8998
9E,2019-03-03,9041
9E,2019-03-04,15079
9E,2019-03-05,-1173
9E,2019-03-06,-4920
9E,2019-03-07,-995
9E,2019-03-08,-1414
9E,2019-03-09,2255
9E,2019-03-10,9384
9E,2019-03-11,-5666
9E,2019-03-12,-4887
9E,2019-03-13,-3820
9E,2019-03-14,10724
9E,2019-03-15,24831
9E,2019-03-16,5212
9E,2019-03-17,-7204
9E,2019-03-18,-7325
9E,2019-03-19,-9686
9E,2019-03-20,-8648
9E,2019-03-21,10454
9E,2019-03-22,15571
9E,2019-03-23,-3931
9E,2019-03-24,-9222
9E,2019-03-25,-1803
9E,2019-03-26,-5707
9E,2019-03-27,-6202
9E,2019-03-28,-7608
9E,2019-03-29,-10618
9E,2019-03-30,-4126
9E,2019-03-31,-1169
9E,2019-04-01,32367
9E,2019-04-02,-7962
9E,2019-04-03,-1290
9E,2019-04-04,-5297
9E,2019-04-05,-1531
9E,2019-04-06,-3774
9E,2019-04-07,1362
9E,2019-04-08,3043
9E,2019-04-09,7829
9E,2019-04-10,773
9E,2019-04-11,-3137
9E,2019-04-12,12358
9E,2019-04-13,2742
9E,2019-04-14,44578
9E,2019-04-15,33140
9E,2019-04-16,-4105
9E,2019-04-17,-6549
9E,2019-04-18,4156
9E,2019-04-19,25664
9E,2019-04-20,1335
9E,2019-04-21,-6551
9E,2019-04-22,5768
9E,2019-04-23,-4598
9E,2019-04-24,-8009
9E,2019-04-25,-6446
9E,2019-04-26,24692
9E,2019-04-27,7229
9E,2019-04-28,-4294
9E,2019-04-29,-6422
9E,2019-04-30,-2617
9E,2019-05-01,-2242
9E,2019-05-02,7297
9E,2019-05-03,7119
9E,2019-05-04,-2446
9E,2019-05-05,-175
9E,2019-05-06,-5671
9E,2019-05-07,-6488
9E,2019-05-08,3028
9E,2019-05-09,-842
9E,2019-05-10,-30
9E,2019-05-11,-1968
9E,2019-05-12,-2885
9E,2019-05-13,2265
9E,2019-05-14,-7459
9E,2019-05-15,-9773
9E,2019-05-16,-6438
9E,2019-05-17,-1192
9E,2019-05-18,-1672
9E,2019-05-19,8894
9E,2019-05-20,1043
9E,2019-05-21,-1617
9E,2019-05-22,-6553
9E,2019-05-23,23740
9E,2019-05-24,2449
9E,2019-05-25,-4363
9E,2019-05-26,-4000
9E,2019-05-27,-6877
9E,2019-05-28,9297
9E,2019-05-29,7549
9E,2019-05-30,16089
9E,2019-05-31,-1127
9E,2019-06-01,-465
9E,2019-06-02,11276
9E,2019-06-03,-5805
9E,2019-06-04,-5771
9E,2019-06-05,7782
9E,2019-06-06,525
9E,2019-06-07,-2498
9E,2019-06-08,31119
9E,2019-06-09,43645
9E,2019-06-10,41235
9E,2019-06-11,33526
9E,2019-06-12,10288
9E,2019-06-13,19954
9E,2019-06-14,-3535
9E,2019-06-15,-1812
9E,2019-06-16,1825
9E,2019-06-17,145
9E,2019-06-18,17127
9E,2019-06-19,21502
9E,2019-06-20,31341
9E,2019-06-21,18719
9E,2019-06-22,1169
9E,2019-06-23,14462
9E,2019-06-24,15012
9E,2019-06-25,24170
9E,2019-06-26,-4241
9E,2019-06-27,360
9E,2019-06-28,-291
9E,2019-06-29,7304
9E,2019-06-30,289
9E,2019-07-01,-7174
9E,2019-07-02,-4612
9E,2019-07-03,-4913
9E,2019-07-04,-3976
9E,2019-07-05,-2834
9E,2019-07-06,20153
9E,2019-07-07,17296
9E,2019-07-08,11992
9E,2019-07-09,-2867
9E,2019-07-10,-5403
9E,2019-07-11,16586
9E,2019-07-12,5268
9E,2019-07-13,-2992
9E,2019-07-14,-3962
9E,2019-07-15,-498
9E,2019-07-16,-1855
9E,2019-07-17,14069
9E,2019-07-18,29068
9E,2019-07-19,45523
9E,2019-07-20,17847
9E,2019-07-21,16694
9E,2019-07-22,11028
9E,2019-07-23,12548
9E,2019-07-24,-5740
9E,2019-07-25,-7739
9E,2019-07-26,-211
9E,2019-07-27,-3075
9E,2019-07-28,-9175
9E,2019-07-29,-3445
9E,2019-07-30,13370
9E,2019-07-31,2380
9E,2019-08-01,19294
9E,2019-08-02,3098
9E,2019-08-03,1059
9E,2019-08-04,-254
9E,2019-08-05,-2714
9E,2019-08-06,14625
9E,2019-08-07,17726
9E,2019-08-08,18374
9E,2019-08-09,8336
9E,2019-08-10,-4125
9E,2019-08-11,-8655
9E,2019-08-12,-8013
9E,2019-08-13,3901
9E,2019-08-14,12684
9E,2019-08-15,9067
9E,2019-08-16,-955
9E,2019-08-17,3214
9E,2019-08-18,9899
9E,2019-08-19,13496
9E,2019-08-20,18303
9E,2019-08-21,6032
9E,2019-08-22,8026
9E,2019-08-23,3864
9E,2019-08-24,-3307
9E,2019-08-25,-7949
9E,2019-08-26,-5763
9E,2019-08-27,-6038
9E,2019-08-28,-2402
9E,2019-08-29,-7728
9E,2019-08-30,-8793
9E,2019-08-31,-3520
9E,2019-09-01,-5525
9E,2019-09-02,8970
9E,2019-09-03,-2383
9E,2019-09-04,237
9E,2019-09-05,-8590
9E,2019-09-06,-6553
9E,2019-09-07,-5209
9E,2019-09-08,-9453
9E,2019-09-09,-8688
9E,2019-09-10,-3758
9E,2019-09-11,419
9E,2019-09-12,5955
9E,2019-09-13,7347
9E,2019-09-14,-3183
9E,2019-09-15,-9197
9E,2019-09-16,-4558
9E,2019-09-17,-1667
9E,2019-09-18,4721
9E,2019-09-19,-1663
9E,2019-09-20,-2069
9E,2019-09-21,-3180
9E,2019-09-22,-6609
9E,2019-09-23,-9127
9E,2019-09-24,-7926
9E,2019-09-25,-8023
9E,2019-09-26,2871
9E,2019-09-27,2190
9E,2019-09-28,-88
9E,2019-09-29,-4945
9E,2019-09-30,-5532
9E,2019-10-01,-5426
9E,2019-10-02,-4370
9E,2019-10-03,3092
9E,2019-10-04,9978
9E,2019-10-05,-4230
9E,2019-10-06,-4296
9E,2019-10-07,-7527
9E,2019-10-08,8974
9E,2019-10-09,7364
9E,2019-10-10,3376
9E,2019-10-11,7763
9E,2019-10-12,-2885
9E,2019-10-13,-4428
9E,2019-10-14,-4976
9E,2019-10-15,-3495
9E,2019-10-16,1273
9E,2019-10-17,8168
9E,2019-10-18,5027
9E,2019-10-19,-2010
9E,2019-10-20,226
9E,2019-10-21,10970
9E,2019-10-22,8049
9E,2019-10-23,-8912
9E,2019-10-24,-6018
9E,2019-10-25,-3474
9E,2019-10-26,-2836
9E,2019-10-27,-1132
9E,2019-10-28,-4367
9E,2019-10-29,-6396
9E,2019-10-30,-1047
9E,2019-10-31,3356
9E,2019-11-01,-4819
9E,2019-11-02,-3186
9E,2019-11-03,-7311
9E,2019-11-04,-9088
9E,2019-11-05,-9449
9E,2019-11-06,-9820
9E,2019-11-07,1138
9E,2019-11-08,1771
9E,2019-11-09,-4644
9E,2019-11-10,-7657
9E,2019-11-11,16339
9E,2019-11-12,20330
9E,2019-11-13,-1659
9E,2019-11-14,-1559
9E,2019-11-15,-3060
9E,2019-11-16,-4865
9E,2019-11-17,-4839
9E,2019-11-18,9924
9E,2019-11-19,-7604
9E,2019-11-20,-7646
9E,2019-11-21,-10011
9E,2019-11-22,1384
9E,2019-11-23,-3376
9E,2019-11-24,-7774
9E,2019-11-25,-9419
9E,2019-11-26,-9176
9E,2019-11-27,341
9E,2019-11-28,-3855
9E,2019-11-29,-4556
9E,2019-11-30,-373
9E,2019-12-01,21284
9E,2019-12-02,16256
9E,2019-12-03,3749
9E,2019-12-04,-8898
9E,2019-12-05,-8086
9E,2019-12-06,-7823
9E,2019-12-07,-7371
9E,2019-12-08,-8557
9E,2019-12-09,22372
9E,2019-12-10,-6667
9E,2019-12-11,16288
9E,2019-12-12,-5268
9E,2019-12-13,-333
9E,2019-12-14,3355
9E,2019-12-15,-258
9E,2019-12-16,1414
9E,2019-12-17,16291
9E,2019-12-18,12006
9E,2019-12-19,6839
9E,2019-12-20,-5037
9E,2019-12-21,-8220
9E,2019-12-22,3099
9E,2019-12-23,-3883
9E,2019-12-24,-3752
9E,2019-12-25,-5459
9E,2019-12-26,-7815
9E,2019-12-27,-7434
9E,2019-12-28,-7786
9E,2019-12-29,-1463
9E,2019-12-30,5270
9E,2019-12-31,-2208
9K,2018-01-01,-155
9K,2018-01-02,-83
9K,2018-01-03,-35
9K,2018-01-04,-75
9K,2018-01-05,15
9K,2018-01-06,-52
9K,2018-01-07,13
9K,2018-01-08,-5
9K,2018-01-09,210
9K,2018-01-10,10
9K,2018-01-11,10
9K,2018-01-12,-85
9K,2018-01-13,-85
9K,2018-01-14,-55
9K,2018-01-15,-100
9K,2018-01-16,-20
9K,2018-01-17,40
9K,2018-01-18,285
9K,2018-01-19,-35
9K,2018-01-20,187
9K,2018-01-21,-108
9K,2018-01-22,-160
9K,2018-01-23,-95
9K,2018-01-24,-16
9K,2018-01-25,-75
9K,2018-01-26,165
9K,2018-01-27,-64
9K,2018-01-28,-105
9K,2018-01-29,-205
9K,2018-01-30,-190
9K,2018-01-31,-35
9K,2018-02-01,-157
9K,2018-02-02,44
9K,2018-02-03,-102
9K,2018-02-04,-125
9K,2018-02-05,-105
9K,2018-02-06,-60
9K,2018-02-07,-22
9K,2018-02-08,-18
9K,2018-02-09,94
9K,2018-02-10,15
9K,2018-02-11,-50
9K,2018-02-12,-79
9K,2018-02-13,-40
9K,2018-02-14,30
9K,2018-02-15,-35
9K,2018-02-16,15
9K,2018-02-17,-90
9K,2018-02-18,-5
9K,2018-02-19,86
9K,2018-02-20,-46
9K,2018-02-21,-92
9K,2018-02-22,-52
9K,2018-02-23,-91
9K,2018-02-24,-59
9K,2018-02-25,8
9K,2018-02-26,-145
9K,2018-02-27,-133
9K,2018-02-28,24
9K,2018-03-01,-120
9K,2018-03-02,-130
9K,2018-03-03,-45
9K,2018-03-04,-1
9K,2018-03-05,677
9K,2018-03-06,-84
9K,2018-03-07,5
9K,2018-03-08,-65
9K,2018-03-09,566
9K,2018-03-10,15
9K,2018-03-11,37
9K,2018-03-12,-85
9K,2018-03-13,-95
9K,2018-03-14,-61
9K,2018-03-15,-62
9K,2018-03-16,-43
9K,2018-03-17,-59
9K,2018-03-18,-20
9K,2018-03-19,-140
9K,2018-03-20,-60
9K,2018-03-21,1005
9K,2018-03-22,63
9K,2018-03-23,53
9K,2018-03-24,-10
9K,2018-03-25,34
9K,2018-03-26,-90
9K,2018-03-27,-45
9K,2018-03-28,27
9K,2018-03-29,8
9K,2018-03-30,50
9K,2018-03-31,541
9K,2018-04-01,125
9K,2018-04-02,-20
9K,2018-04-03,-39
9K,2018-04-04,134
9K,2018-04-05,16
9K,2018-04-06,45
9K,2018-04-07,-70
9K,2018-04-08,-17
9K,2018-04-09,62
9K,2018-04-10,136
9K,2018-04-11,-176
9K,2018-04-12,-120
9K,2018-04-13,-130
9K,2018-04-14,-95
9K,2018-04-15,-31
9K,2018-04-16,-96
9K,2018-04-17,21
9K,2018-04-18,-52
9K,2018-04-19,-58
9K,2018-04-20,-50
9K,2018-04-21,254
9K,2018-04-22,14
9K,2018-04-23,-125
9K,2018-04-24,-74
9K,2018-04-25,-46
9K,2018-04-26,-65
9K,2018-04-27,16
9K,2018-04-28,-21
9K,2018-04-29,-24
9K,2018-04-30,-15
9K,2018-05-01,-85
9K,2018-05-02,-29
9K,2018-05-03,7
9K,2018-05-04,-107
9K,2018-05-05,27
9K,2018-05-06,-49
9K,2018-05-07,-105
9K,2018-05-08,-190
9K,2018-05-09,-127
9K,2018-05-10,-57
9K,2018-05-11,-38
9K,2018-05-12,-10
9K,2018-05-13,-110
9K,2018-05-14,-80
9K,2018-05-15,-97
9K,2018-05-16,-5
9K,2018-05-17,-37
9K,2018-05-18,-72
9K,2018-05-19,25
9K,2018-05-20,-90
9K,2018-05-21,-119
9K,2018-05-22,-158
9K,2018-05-23,-42
9K,2018-05-24,-90
9K,2018-05-25,-48
9K,2018-05-26,-88
9K,2018-05-27,276
9K,2018-05-28,-65
9K,2018-05-29,-90
9K,2018-05-30,9
9K,2018-05-31,32
AA,2018-01-01,41005
AA,2018-01-02,34123
AA,2018-01-03,17490
AA,2018-01-04,6659
AA,2018-01-05,28106
AA,2018-01-06,8128
AA,2018-01-07,22120
AA,2018-01-08,11619
AA,2018-01-09,1666
AA,2018-01-10,-6585
AA,2018-01-11,4886
AA,2018-01-12,27305
AA,2018-01-13,-9923
AA,2018-01-14,-16521
AA,2018-01-15,9597
AA,2018-01-16,-6573
AA,2018-01-17,44612
AA,2018-01-18,-1199
AA,2018-01-19,-16655
AA,2018-01-20,-20558
AA,2018-01-21,3339
AA,2018-01-22,-12440
AA,2018-01-23,-18308
AA,2018-01-24,-16325
AA,2018-01-25,-15596
AA,2018-01-26,-18416
AA,2018-01-27,-21302
AA,2018-01-28,-6660
AA,2018-01-29,-11296
AA,2018-01-30,-8726
AA,2018-01-31,-22669
AA,2018-02-01,-13706
AA,2018-02-02,-6834
AA,2018-02-03,-16718
AA,2018-02-04,33080
AA,2018-02-05,-480
AA,2018-02-06,-3183
AA,2018-02-07,13101
AA,2018-02-08,-10540
AA,2018-02-09,8974
AA,2018-02-10,3745
AA,2018-02-11,28198
AA,2018-02-12,-9554
AA,2018-02-13,-18468
AA,2018-02-14,-12410
AA,2018-02-15,1793
AA,2018-02-16,7483
AA,2018-02-17,1574
AA,2018-02-18,-7304
AA,2018-02-19,8263
AA,2018-02-20,46563
AA,2018-02-21,20604
AA,2018-02-22,22412
AA,2018-02-23,17548
AA,2018-02-24,26964
AA,2018-02-25,3164
AA,2018-02-26,-5521
AA,2018-02-27,-3336
AA,2018-02-28,-37
AA,2018-03-01,6363
AA,2018-03-02,1506
AA,2018-03-03,11188
AA,2018-03-04,1657
AA,2018-03-05,431
AA,2018-03-06,-10452
AA,2018-03-07,1894
AA,2018-03-08,-4016
AA,2018-03-09,-5742
AA,2018-03-10,-11533
AA,2018-03-11,-4818
AA,2018-03-12,-639
AA,2018-03-13,-3477
AA,2018-03-14,-298
AA,2018-03-15,541
AA,2018-03-16,3536
AA,2018-03-17,-11443
AA,2018-03-18,-9063
AA,2018-03-19,309
AA,2018-03-20,19498
AA,2018-03-21,4082
AA,2018-03-22,11762
AA,2018-03-23,3908
AA,2018-03-24,-7728
AA,2018-03-25,-7226
AA,2018-03-26,-8967
AA,2018-03-27,10701
AA,2018-03-28,7875
AA,2018-03-29,323
AA,2018-03-30,-1055
AA,2018-03-31,-15283
AA,2018-04-01,-8467
AA,2018-04-02,13285
AA,2018-04-03,29535
AA,2018-04-04,5851
AA,2018-04-05,-4570
AA,2018-04-06,31139
AA,2018-04-07,-4609
AA,2018-04-08,-9015
AA,2018-04-09,-46
AA,2018-04-10,-2649
AA,2018-04-11,-14591
AA,2018-04-12,-10361
AA,2018-04-13,19469
AA,2018-04-14,4553
AA,2018-04-15,43846
AA,2018-04-16,25759
AA,2018-04-17,-9258
AA,2018-04-18,-7005
AA,2018-04-19,-3242
AA,2018-04-20,-9172
AA,2018-04-21,2740
AA,2018-04-22,-2682
AA,2018-04-23,3001
AA,2018-04-24,-6340
AA,2018-04-25,6373
AA,2018-04-26,-8963
AA,2018-04-27,1086
AA,2018-04-28,-17785
AA,2018-04-29,-14895
AA,2018-04-30,-14981
AA,2018-05-01,-17910
AA,2018-05-02,-6415
AA,2018-05-03,71044
AA,2018-05-04,4947
AA,2018-05-05,-16277
AA,2018-05-06,3426
AA,2018-05-07,-6333
AA,2018-05-08,-17141
AA,2018-05-09,23560
AA,2018-05-10,28355
AA,2018-05-11,-3956
AA,2018-05-12,-5510
AA,2018-05-13,282
AA,2018-05-14,44740
AA,2018-05-15,44423
AA,2018-05-16,44380
AA,2018-05-17,35755
AA,2018-05-18,23243
AA,2018-05-19,6542
AA,2018-05-20,63784
AA,2018-05-21,28250
AA,2018-05-22,13254
AA,2018-05-23,-848
AA,2018-05-24,-599
AA,2018-05-25,17152
AA,2018-05-26,4961
AA,2018-05-27,837
AA,2018-05-28,-3214
AA,2018-05-29,11365
AA,2018-05-30,18561
AA,2018-05-31,46016
AA,2018-06-01,27730
AA,2018-06-02,5021
AA,2018-06-03,7244
AA,2018-06-04,44120
AA,2018-06-05,2689
AA,2018-06-06,-933
AA,2018-06-07,39098
AA,2018-06-08,35217
AA,2018-06-09,46194
AA,2018-06-10,57079
AA,2018-06-11,22649
AA,2018-06-12,13355
AA,2018-06-13,7094
AA,2018-06-14,18287
AA,2018-06-15,11928
AA,2018-06-16,2819
AA,2018-06-17,7347
