unique_carrier,year,month,total_gallons
9S,2019,2,6159111
9S,2019,3,7617225
9S,2019,4,7466445
9S,2019,5,7911553
9S,2019,6,6914484
9S,2019,7,7821501
9S,2019,8,8134510
9S,2019,9,7855357
AA,2018,1,283974071
AA,2018,2,261946387
AA,2018,3,298906244
AA,2018,4,297784292
AA,2018,5,318954880
AA,2018,6,327277749
AA,2018,7,341082450
AA,2018,8,334937605
AA,2018,9,302313376
AA,2018,10,309826329
AA,2018,11,275209633
AA,2018,12,292016200
AA,2019,1,286544730
AA,2019,2,264286537
AA,2019,3,301971007
AA,2019,4,291008622
AA,2019,5,319972133
AA,2019,6,327437203
AA,2019,7,338595043
AA,2019,8,338196501
AA,2019,9,303854847
ABX,2018,1,44160
ABX,2018,2,52160
ABX,2018,3,61992
ABX,2018,4,163281
ABX,2018,5,196691
ABX,2018,6,175886
ABX,2018,7,183134
ABX,2018,8,179809
ABX,2018,9,160456
ABX,2018,10,148940
ABX,2018,11,303415
ABX,2018,12,157837
ABX,2019,1,229897
ABX,2019,2,147714
ABX,2019,3,134567
ABX,2019,4,194952
ABX,2019,5,149718
ABX,2019,6,133419
ABX,2019,7,158928
ABX,2019,8,159484
ABX,2019,9,135237
AS,2018,1,58008156
AS,2018,2,53190592
AS,2018,3,61086840
AS,2018,4,60819149
AS,2018,5,63119777
AS,2018,6,64229624
AS,2018,7,66618692
AS,2018,8,65204794
AS,2018,9,57233475
AS,2018,10,59541567
AS,2018,11,58118677
AS,2018,12,59640959
AS,2019,1,57084165
AS,2019,2,51311445
AS,2019,3,60609906
AS,2019,4,59726464
AS,2019,5,62777186
AS,2019,6,64578199
AS,2019,7,67620392
AS,2019,8,66611391
AS,2019,9,58850785
B6,2018,1,66886288
B6,2018,2,62754922
B6,2018,3,69593014
B6,2018,4,70477962
B6,2018,5,72693063
B6,2018,6,72081982
B6,2018,7,76885689
B6,2018,8,76718254
B6,2018,9,68771391
B6,2018,10,69258116
B6,2018,11,68913393
B6,2018,12,74132762
B6,2019,1,70408211
B6,2019,2,66427970
B6,2019,3,76399651
B6,2019,4,75177112
B6,2019,5,74539278
B6,2019,6,74781183
B6,2019,7,79776775
B6,2019,8,79758935
B6,2019,9,69038422
CP,2018,1,0
CP,2018,2,0
CP,2018,3,0
CP,2018,4,0
CP,2018,5,0
CP,2018,6,0
CP,2018,7,0
CP,2018,8,0
CP,2018,9,0
CP,2018,10,0
CP,2018,11,0
CP,2018,12,0
CP,2019,1,0
CP,2019,2,0
CP,2019,3,0
CP,2019,4,0
CP,2019,5,0
CP,2019,6,0
CP,2019,7,0
CP,2019,8,0
CP,2019,9,0
DL,2018,1,264566092
DL,2018,2,243541538
DL,2018,3,291878202
DL,2018,4,285819352
DL,2018,5,307656630
DL,2018,6,325372441
DL,2018,7,343768695
DL,2018,8,344620993
DL,2018,9,293360620
DL,2018,10,292898585
DL,2018,11,263318204
DL,2018,12,275489241
DL,2019,1,273706863
DL,2019,2,248074450
DL,2019,3,299952005
DL,2019,4,296111146
DL,2019,5,318173288
DL,2019,6,336183657
DL,2019,7,351133142
DL,2019,8,351127851
DL,2019,9,303891710
EV,2018,1,0
EV,2018,2,0
EV,2018,3,0
EV,2018,4,0
EV,2018,5,0
EV,2018,6,0
EV,2018,7,0
EV,2018,8,0
EV,2018,9,0
EV,2018,10,0
EV,2018,11,0
EV,2018,12,0
EV,2019,1,0
EV,2019,3,0
EV,2019,4,0
EV,2019,5,0
EV,2019,6,0
EV,2019,7,0
EV,2019,8,0
EV,2019,9,0
F9,2018,1,22206391
F9,2018,2,20163955
F9,2018,3,21438371
F9,2018,4,21089364
F9,2018,5,22315422
F9,2018,6,22096787
F9,2018,7,22419797
F9,2018,8,22889818
F9,2018,9,21150675
F9,2018,10,21816709
F9,2018,11,21315382
F9,2018,12,22195128
F9,2019,1,21842481
F9,2019,2,20082594
F9,2019,3,22140202
F9,2019,4,21622508
F9,2019,5,24591649
F9,2019,6,24596330
F9,2019,7,26676552
F9,2019,8,26032547
F9,2019,9,24188904
FX,2018,1,95932133
FX,2018,2,91503290
FX,2018,3,102762136
FX,2018,4,93075082
FX,2018,5,100255770
FX,2018,6,97780314
FX,2018,7,94493414
FX,2018,8,101305201
FX,2018,9,95333355
FX,2018,10,103132330
FX,2018,11,105424004
FX,2018,12,110256966
FX,2019,1,102433846
FX,2019,2,91273323
FX,2019,3,101332662
FX,2019,4,97834857
FX,2019,5,104114388
FX,2019,6,96506510
FX,2019,7,97439638
FX,2019,8,100380202
FX,2019,9,92489207
G4,2018,1,14184029
G4,2018,2,14997636
G4,2018,3,19458333
G4,2018,4,16643107
G4,2018,5,16130026
G4,2018,6,18742682
G4,2018,7,19950318
G4,2018,8,15869106
G4,2018,9,11196654
G4,2018,10,14711791
G4,2018,11,14978888
G4,2018,12,14608670
G4,2019,1,12784069
G4,2019,2,13990478
G4,2019,3,19699007
G4,2019,4,17389313
G4,2019,5,16494800
G4,2019,6,20179468
G4,2019,7,21699207
G4,2019,8,16210186
G4,2019,9,10533970
G7,2018,1,0
G7,2018,2,0
G7,2018,3,0
G7,2018,4,0
G7,2018,5,0
G7,2018,6,0
G7,2018,7,0
G7,2018,8,0
G7,2018,9,0
G7,2018,10,0
G7,2018,11,0
G7,2018,12,0
G7,2019,1,0
G7,2019,2,0
G7,2019,3,0
G7,2019,4,0
G7,2019,5,0
G7,2019,6,0
G7,2019,7,0
G7,2019,8,0
G7,2019,9,0
GFQ,2018,1,457372
GFQ,2018,2,504777
GFQ,2018,3,348144
GFQ,2018,4,362500
GFQ,2018,5,348074
GFQ,2018,6,343781
GFQ,2018,7,222317
GFQ,2018,8,269611
GFQ,2018,9,353458
GFQ,2018,10,377688
GFQ,2018,11,318721
GFQ,2018,12,224092
GFQ,2019,1,358893
GFQ,2019,2,326772
GFQ,2019,3,389396
GFQ,2019,4,245110
GFQ,2019,5,211819
GFQ,2019,6,253033
GFQ,2019,7,200761
GFQ,2019,8,252935
GFQ,2019,9,372345
GL,2018,1,597256
GL,2018,2,678252
GL,2018,3,1011298
GL,2018,4,610402
GL,2018,5,476121
GL,2018,6,600251
GL,2018,7,444342
GL,2018,8,355463
GL,2018,9,274208
GL,2018,10,398972
GL,2018,11,544841
GL,2018,12,580129
GL,2019,1,619859
GL,2019,2,723391
GL,2019,3,944698
GL,2019,4,515654
GL,2019,5,402992
GL,2019,6,469034
GL,2019,7,458574
GL,2019,8,355481
GL,2019,9,504243
HA,2018,1,22432193
HA,2018,2,20036922
HA,2018,3,22810112
HA,2018,4,22267505
HA,2018,5,23034848
HA,2018,6,23317519
HA,2018,7,24095994
HA,2018,8,24845433
HA,2018,9,23191353
HA,2018,10,22843334
HA,2018,11,21758910
HA,2018,12,23148471
HA,2019,1,22626587
HA,2019,2,19951048
HA,2019,3,21943156
HA,2019,4,22033896
HA,2019,5,22905599
HA,2019,6,22337825
HA,2019,7,23281392
HA,2019,8,23783183
HA,2019,9,22684624
KAQ,2018,1,3817201
KAQ,2018,2,4055093
KAQ,2018,3,4632109
KAQ,2018,4,5694803
KAQ,2018,5,6010657
KAQ,2018,6,6124625
KAQ,2018,7,6182863
KAQ,2018,8,6009584
KAQ,2018,9,6944826
KAQ,2018,10,7990676
KAQ,2018,11,8628044
KAQ,2018,12,6880214
KAQ,2019,1,5414448
KAQ,2019,2,5711413
KAQ,2019,3,6937093
KAQ,2019,4,7745919
KAQ,2019,5,6490378
KAQ,2019,6,7697011
KAQ,2019,7,6441271
KAQ,2019,8,7836911
KAQ,2019,9,6432213
KD,2018,1,1084109
KD,2018,2,1930478
KD,2018,3,976230
KD,2018,4,2042779
KD,2018,5,1810784
KD,2018,6,2263773
KD,2018,7,3637110
KD,2018,8,3102800
KD,2018,9,2434192
KD,2018,10,3355162
KD,2018,11,4403406
KD,2018,12,2192151
KD,2019,1,2765790
KD,2019,2,2262644
KD,2019,3,3255721
KD,2019,4,2461468
KD,2019,5,2099089
KD,2019,6,2921018
KD,2019,7,2508964
KD,2019,8,1333450
KD,2019,9,2560152
KH,2018,1,432202
KH,2018,2,397609
KH,2018,3,426607
KH,2018,4,385347
KH,2018,5,404001
KH,2018,6,385855
KH,2018,7,380174
KH,2018,8,386511
KH,2018,9,363038
KH,2018,10,380174
KH,2018,11,404924
KH,2018,12,478286
KH,2019,1,432202
KH,2019,2,338518
KH,2019,3,388491
KH,2019,4,392414
KH,2019,5,387931
KH,2019,6,396366
KH,2019,7,429557
KH,2019,8,423687
KH,2019,9,390699
KLQ,2018,1,168862
KLQ,2018,2,205189
KLQ,2018,3,237757
