unique_carrier,year,month,distance,passengers
CC,2018,6,43431,0
O6,2018,4,35786,21064
SU,2019,4,51990,78233
13Q,2019,9,73803,562
NH,2019,5,153930,174241
PD,2018,12,5250,70505
R0,2019,4,242,423
UO,2019,2,2138,2618
LA,2019,2,170452,78926
TQQ,2019,7,5216,13793
C5,2019,3,55986,182496
13Q,2018,3,132005,598
SQ,2018,8,107401,87369
IG,2018,8,17850,22874
WS,2019,11,335011,447946
PH,2018,9,468,6074
NLQ,2018,3,8291,94
ELL,2018,4,408,7
PH,2019,10,470,5900
04Q,2018,9,49599,2809
2UQ,2018,9,7713,4
0QQ,2019,2,17618,119
KV,2018,5,32800,209461
P3,2018,2,37040,0
BW,2018,3,36506,62100
BR,2018,12,164203,164835
5X,2018,3,917896,0
LY,2018,6,91563,85049
1SQ,2019,1,1935,9065
LV,2018,11,7296,4014
E7,2019,1,2552,0
HY,2019,11,12678,2986
1QQ,2018,9,90,1859
DI,2018,10,124768,160391
28Q,2018,1,1832,0
PT,2018,5,42829,309094
EM,2019,5,16287,19488
AS,2019,4,1510200,2935852
TP,2018,11,43196,51574
SV,2019,2,69118,20388
8V,2018,5,35280,6484
LO,2019,3,122460,45388
9X,2019,10,8312,9798
RV,2018,5,94893,257167
AMQ,2018,7,47878,187
28Q,2018,3,1648,0
UP,2018,7,7926,67876
3F,2018,2,994,301
CA,2019,11,150667,106474
M3,2018,9,67212,0
09Q,2019,11,610986,123231
PS,2019,11,9388,9326
13Q,2018,1,110559,556
PT,2018,10,43056,378273
FI,2019,3,115592,92997
1UQ,2019,10,3781,0
VS,2019,2,150500,232880
1WQ,2018,4,3422,4412
KL,2018,2,192566,124403
C8,2019,4,33971,0
7C,2018,8,18048,80084
0UQ,2018,2,11988,6
BF,2019,1,19560,12032
HBQ,2018,2,2177,330
0CQ,2019,6,22364,34
AF,2019,5,309130,375698
1EQ,2018,7,15046,910
SV,2018,8,89997,43399
SNK,2018,12,1380,235
TN,2019,6,19530,36268
KLQ,2019,7,59100,0
2RQ,2019,3,2808,2
X7,2019,8,7426,0
J5,2019,10,6647,5434
M6,2019,1,76681,0
FX,2018,6,1247707,0
AM,2018,8,101806,289445
GCQ,2018,9,4994,8
GEQ,2019,5,20640,14
BX,2019,4,7168,7392
5X,2019,1,1058097,0
SK,2019,3,173764,96149
KFQ,2019,6,8465,14
PS,2019,1,9388,12952
0BQ,2018,4,4956,4
Z3Q,2019,4,140,2913
LF,2018,12,129190,11861
3AQ,2019,5,4675,446
QT,2019,11,18843,0
0BQ,2019,12,7992,6
VH,2018,2,2776,1740
4M,2018,10,8812,12031
EAU,2019,8,21473,21
3BQ,2019,2,1402,843
HX,2018,1,18796,15387
0WQ,2019,7,45251,122
1TQ,2019,6,2873,0
IFQ,2019,12,38378,58
KE,2018,10,413375,254106
QK,2018,5,80517,153300
BR,2019,10,131476,162214
04Q,2018,4,47168,3684
9S,2019,1,70307,0
OJ,2018,2,8226,5931
2RQ,2019,4,14726,23
DL,2019,7,3852743,15662296
WG,2018,3,27991,30524
RU,2018,3,124359,0
EQ,2018,12,9526,15937
V8,2019,3,14034,1153
14Q,2018,4,32320,207
26Q,2018,4,4222,6
1TQ,2019,9,2211,0
3E,2019,12,4673,5356
4B,2018,9,12659,14381
2TQ,2019,2,1144,282
1BQ,2019,7,21168,4160
DY,2019,5,473467,300877
ET,2019,11,57444,27399
3SD,2018,6,2632,1011
QF,2018,1,154312,146767
Z3,2018,10,3621,733
JQ,2019,3,21140,13032
GV,2019,8,42128,14487
9E,2019,9,277633,1237105
SE,2018,8,38954,49071
3F,2018,6,3710,2060
X9,2018,7,43446,8982
NK,2018,4,974158,2360426
UP,2018,8,10609,74466
22Q,2018,11,1264,44
0Q,2018,1,7292,8
9E,2019,4,293785,1242175
7H,2019,9,27820,35638
TS,2018,5,21512,7539
N8,2019,11,92862,338
AS,2019,5,1497271,3119837
8C,2019,4,85757,0
G7,2019,5,140060,458147
HA,2018,1,233970,954094
TN,2018,1,19530,26113
1QQ,2019,9,90,1556
3S,2018,1,47255,0
UA,2019,11,4737875,8975899
4C,2019,7,6024,9458
8R,2019,8,53048,17334
C5,2018,3,32736,136216
PT,2019,9,57207,419588
M3,2019,8,51164,0
28Q,2018,4,1648,0
X4,2019,7,1167,1690
C8,2018,6,19830,0
AF,2018,9,291291,362640
YX,2019,6,831004,1709879
2UQ,2019,1,4344,9
VIQ,2019,4,4841,0
PS,2018,1,9388,9086
5V,2019,9,60755,765
BC,2019,4,2920,670
F9,2019,11,1685240,1978196
QX,2019,7,97626,699217
Z3,2019,10,2469,558
MQ,2018,1,377453,1005136
TR,2018,5,8234,9481
UA,2019,4,4774448,9701649
AT,2019,7,30404,50110
36Q,2019,6,11681,19
2AQ,2018,5,10829,12
G3,2019,7,11537,23080
5C,2019,6,40598,0
HY,2019,2,12678,2715
MT,2019,6,99200,79585
D8,2018,8,80425,60690
SEB,2019,5,5488,21645
22Q,2019,11,948,45
27Q,2019,1,488804,1723
Y4,2019,7,373836,372639
10Q,2019,4,3209,3
2OQ,2019,1,1364,1891
RU,2018,9,100971,0
ET,2019,6,43510,35920
LF,2018,7,117232,7426
3S,2018,4,47255,0
CH,2019,6,1194,0
2RQ,2018,8,7316,10
AS,2019,12,1369635,3109572
B6,2019,8,896261,3909587
14Q,2019,6,30151,177
PFQ,2018,6,23417,0
SQ,2018,4,108071,75687
G4,2019,4,944823,1290043
1XQ,2018,11,4424,4
AX,2018,6,131388,327826
3U,2018,5,34076,23938
XP,2019,9,2984,2140
CI,2018,12,163487,70354
LY,2018,5,96166,74825
JU,2018,5,9022,5195
2AQ,2019,3,17646,43
RJ,2019,7,47534,34492
2OQ,2018,5,1270,1121
LY,2018,1,80854,63717
PO,2018,3,188968,0
LR,2019,10,22020,25097
KE,2018,12,399116,250023
5J,2018,1,3194,3217
1BQ,2019,6,16951,3689
K2,2018,3,14892,2442
CK,2019,5,31301,0
VIQ,2018,2,52005,0
LX,2019,11,111423,125566
AD,2018,7,66544,62946
FX,2019,4,1213791,0
1YQ,2018,5,1366,681
TR,2018,6,8234,10567
XP,2018,8,22,1
PD,2019,1,5250,49906
TQQ,2018,3,5216,13832
5C,2018,3,40598,0
AX,2019,6,116567,261537
7L,2019,10,19458,0
1SQ,2019,3,2176,9498
KS,2019,1,14656,11712
VA,2019,7,59910,47557
4O,2019,7,65396,223965
D8,2018,9,83651,47908
AV,2018,7,79041,156979
1UQ,2018,1,23711,42
OH,2019,10,282752,1321215
G3,2018,2,5898,0
HX,2019,3,32650,58016
LJ,2018,7,10704,45179
CX,2018,4,180932,178812
S4,2019,4,14178,10302
IG,2019,1,17850,14866
3S,2019,2,62963,0
1UQ,2019,9,6497,13
SEB,2019,9,3472,14609
W8,2018,2,13695,0
AT,2018,7,14878,38281
QX,2019,12,116079,723975
3M,2018,3,13270,75650
LX,2018,3,120309,127466
17Q,2019,6,7736,9
CI,2018,10,173129,68279
EK,2019,10,244616,271514
L2,2019,4,20314,0
KV,2019,11,26785,209086
SU,2018,5,51990,76455
OO,2018,5,1151473,3327869
Q5,2018,11,636,33
AF,2019,3,271815,295266
WG,2019,2,29271,24204
RJ,2019,5,36484,21624
38Q,2018,6,1588,4507
2O,2019,7,11355,2847
J2,2019,10,11662,1343
L2,2019,2,16207,0
CAZ,2019,1,22901,23
OH,2019,4,309197,1262765
LJ,2018,10,10704,43190
9X,2018,3,7662,7065
10Q,2018,11,3868,2
9S,2018,6,74122,0
YR,2019,3,2382,9953
VI,2019,7,474,6857
AZ,2019,11,81924,72627
NEW,2018,10,68,2620
QX,2019,4,96084,624691
YX,2018,9,542352,1434428
CAZ,2019,6,21313,10
M7,2019,3,5689,0
AV,2019,2,121194,138211
Q6,2018,9,16992,8639
Q5,2019,12,1192,63
PH,2019,3,468,6079
5V,2019,4,50274,237
DL,2019,2,3721309,10615454
FJ,2018,9,49822,17787
SEB,2018,7,4206,23381
G7,2018,10,171126,450388
3SD,2018,9,2632,656
SQ,2019,2,123433,69411
ZW,2018,2,69417,249315
LR,2018,1,26198,25278
JL,2018,2,158287,164860
S4,2018,4,14082,8976
AD,2019,6,60046,44805
4O,2018,7,69290,213784
TS,2019,8,15058,12322
RVQ,2019,4,326,3
SU,2018,7,51990,97092
YR,2019,6,5403,19511
TK,2018,8,203008,199313
2LQ,2018,12,11038,1725
OR,2018,2,18304,4186
FYQ,2018,1,13603,11
ELL,2018,12,408,0
MP,2019,11,19532,0
WN,2019,10,2293725,14339701
NC,2018,4,29124,0
G4,2019,5,989053,1290973
CH,2018,3,1393,0
LJ,2019,12,7586,30915
9X,2018,12,7180,8325
EI,2019,7,111130,229965
4M,2019,11,8812,12203
LX,2019,2,80672,98323
WN,2018,8,3449196,14350577
SV,2018,10,69118,22630
UA,2018,10,4904118,9766107
PFQ,2018,2,25994,0
7H,2019,4,21838,29387
EQ,2019,6,3882,4281
WGT,2019,12,9250,7
36Q,2018,11,4388,7384
CAZ,2019,2,19063,10
VS,2018,9,227168,345292
LXQ,2019,7,18737,31
FI,2018,9,162322,144955
M3,2018,7,68150,0
AI,2019,7,75642,83283
ZX,2018,4,19762,85167
GL,2018,6,50708,9431
AA,2018,5,3206234,12949638
PR,2019,10,87992,76417
LS,2018,11,39756,3695
UO,2019,11,2138,1
HA,2018,12,249099,964991
MS,2018,2,11230,9598
RU,2018,5,153404,0
XL,2018,5,13802,12801
WG,2018,11,11871,11231
JD,2018,6,3828,3990
4W,2018,3,5925,2419
4M,2019,6,8812,11736
QR,2018,12,176152,164099
A0,2018,6,14592,8527
LP,2018,8,24927,47901
CC,2019,10,16852,0
XP,2019,3,0,0
QT,2019,8,9520,0
1EQ,2018,3,22191,1541
04Q,2019,12,48266,3955
GL,2018,10,111069,6764
JU,2018,7,9022,11058
RVQ,2018,8,326,119
TS,2019,3,51324,47972
VIQ,2019,12,24992,0
MW,2018,1,1986,22538
MP,2019,5,20724,0
LS,2019,12,20140,6467
Y4,2018,12,349293,294384
MU,2018,5,94018,120607
ZW,2019,12,105220,352082
MT,2018,1,15154,8276
JU,2018,2,9022,2660
1WQ,2019,5,3846,5666
L2,2018,5,23711,0
K3,2019,5,2861,552
WST,2018,5,160,186
RU,2019,3,111258,0
DE,2018,3,30691,11065
WL,2018,3,87439,12122
2TQ,2018,6,1438,943
LXQ,2019,1,4593,3
1TQ,2018,11,2221,0
CZ,2018,6,113222,80876
7S,2018,7,49121,322
GCH,2019,11,59,0
0Q,2019,9,33159,26
0J,2019,9,19929,18
AI,2019,3,106652,68743
4W,2018,11,7783,1094
KU,2019,3,12704,12412
0BQ,2018,11,24014,27
PO,2019,2,223109,0
ABX,2018,9,127739,0
X4,2019,6,1075,1568
1YQ,2018,6,1036,531
2LQ,2018,2,5216,1385
AV,2018,8,90402,157972
MW,2018,2,3126,21142
VI,2018,8,440,6173
EK,2019,6,219907,340509
RJ,2018,7,47534,33025
BF,2019,2,19560,9952
7H,2018,7,22771,43979
HBQ,2018,8,1757,939
AZ,2018,9,74570,112275
DE,2018,9,112244,50583
CAZ,2019,12,16017,15
AT,2019,12,30404,28608
UP,2019,3,16941,41436
0UQ,2018,5,3460,6
KX,2018,10,5607,11273
M6,2018,7,58737,0
L2,2019,6,43896,0
VA,2019,2,52621,33906
JVQ,2019,12,8289,6
E7,2019,4,2552,0
KAH,2019,8,9900,10343
Q6,2019,10,16992,15093
13Q,2018,9,65727,437
AT,2018,3,14878,20089
8R,2019,6,53048,18631
WS,2019,6,219844,378160
NEW,2018,4,68,1887
7S,2018,9,49739,349
9V,2018,12,5944,9877
TS,2019,9,12226,5516
J5,2019,4,7601,6212
C8,2019,7,33971,0
PH,2018,3,468,4577
SU,2019,11,61780,59662
Q5,2019,9,1731,88
L7,2018,11,35869,0
JL,2019,8,193439,217271
NZ,2019,5,127128,85276
AI,2019,6,91056,80827
HY,2018,3,8406,1537
LO,2019,11,147556,51045
2KQ,2019,6,4219,13
9K,2019,8,9404,55031
5J,2018,4,3194,3554
KV,2019,5,31035,216182
KQ,2019,8,14720,12648
36Q,2019,12,8901,13
B6,2019,3,919793,3791445
AX,2018,7,99819,322411
YR,2018,2,2148,9968
0WQ,2019,1,44718,134
NH,2019,1,146294,146430
DHQ,2019,9,6170,0
CK,2019,12,31301,0
5J,2018,7,3194,3
ABX,2018,12,119086,0
TA,2018,4,77228,90441
UX,2019,7,24874,32714
4O,2019,6,60026,197099
E7,2018,9,2552,0
3SD,2019,1,2632,1041
3U,2018,3,34076,21517
S4,2018,9,43254,16755
NH,2018,9,146294,151262
2JQ,2018,2,4014,10560
1WQ,2019,1,3422,4241
ADB,2018,5,12901,0
1QQ,2019,12,90,1908
V8,2019,6,22117,1627
FX,2018,9,1303905,0
PD,2018,10,3104,82723
LV,2019,8,7296,8969
YX,2019,7,740277,1673169
1AQ,2019,2,25990,2617
FJ,2018,5,47164,18203
38Q,2018,3,1229,4150
FJ,2019,6,47164,22391
GV,2019,10,36830,14214
SNK,2019,1,1030,252
H6,2018,1,102965,24169
2GQ,2018,7,6403,0
X4,2018,5,593,976
PY,2018,11,6204,4088
NK,2018,9,747643,2196156
GV,2019,2,26355,6574
XL,2018,7,7233,15341
KS,2018,4,14997,15847
CC,2018,8,31315,0
VR,2019,1,6776,1095
LXQ,2018,12,9269,6
J5,2018,12,6903,2468
M6,2018,8,62262,0
36Q,2019,4,27303,26
2OQ,2019,9,1270,1506
0Q,2018,11,10243,3
ELL,2019,11,408,3
LR,2019,12,12974,1405
KH,2019,1,1618,0
VA,2018,6,45134,35966
C5,2018,7,37585,173706
UX,2019,10,32052,25341
1QQ,2018,6,90,2005
KV,2018,6,33664,228595
8E,2019,10,43200,11534
L7,2018,1,28181,0
14Q,2019,7,38584,219
ET,2018,2,46556,19880
SK,2018,10,154950,119931
4W,2019,5,3720,1401
H6,2018,6,94173,25683
VJT,2018,6,405999,390
HBQ,2018,5,1184,716
CM,2019,3,84012,239218
AD,2018,5,81821,60441
PH,2018,4,468,6044
QR,2018,1,176152,181737
JQ,2019,11,21140,15205
KD,2019,5,140669,0
OS,2018,5,37276,35995
1ZQ,2019,9,23964,173
AV,2018,2,77994,112189
3AQ,2019,1,2854,495
BR,2019,2,159925,144516
1AQ,2018,3,13482,4376
M7,2018,6,6094,0
VIQ,2018,10,46690,0
ZW,2018,9,76211,298433
LR,2018,2,22020,23196
VR,2019,12,13990,3646
8C,2018,12,123445,0
CM,2019,1,107141,257890
EI,2018,9,103652,212542
UP,2018,11,12888,42405
SNK,2019,10,1118,615
AS,2018,7,1360875,3463056
1ZQ,2018,6,18878,56
MF,2019,8,55030,24556
14Q,2018,3,50309,232
13Q,2019,5,64604,523
7L,2018,10,12356,0
TA,2018,11,129407,118382
E7,2018,7,2552,0
2AQ,2018,3,2460,15
9S,2019,9,89887,0
BF,2019,10,19560,18113
38Q,2018,9,1588,3506
4M,2018,3,8812,19620
CH,2018,1,1393,0
KFQ,2018,11,5668,6
P3,2018,4,54126,0
DHQ,2018,9,5304,0
RU,2019,4,96247,0
LF,2018,3,146165,10293
YR,2019,4,5321,15905
B6,2019,12,1004949,3634996
0QQ,2018,4,10784,106
HX,2018,10,32650,56864
X9,2018,1,38747,19932
LJ,2019,3,7586,30509
BR,2018,3,146388,168579
04Q,2018,8,59257,6749
22Q,2019,2,1264,33
EK,2019,9,229108,288760
PFQ,2018,3,23725,0
D8,2019,5,12384,23018
LO,2018,1,47972,34617
BX,2019,7,10286,9322
AM,2019,11,67062,154044
OS,2019,7,67486,73358
Z3Q,2018,8,140,2157
AC,2018,9,153040,448763
D7,2018,1,8234,10277
PY,2018,1,8870,4819
SEB,2019,2,4340,14091
DI,2019,9,139579,165226
SE,2018,5,14628,16480
R0,2018,11,242,219
14Q,2019,10,29420,118
34Q,2018,7,12611,14
IG,2019,3,17850,15334
IG,2018,12,17850,15121
AT,2018,10,14878,17234
G4,2019,8,1065760,1266694
CZ,2019,5,125062,82691
22Q,2018,12,948,59
SEB,2018,12,3724,13060
AC,2019,2,312799,438549
X4,2019,1,347,117
V8,2018,2,6212,741
NC,2018,2,29276,0
2GQ,2018,4,1749,0
1AQ,2019,5,14103,1208
PT,2019,5,60456,448185
5C,2019,1,40598,0
CA,2018,8,173151,158359
28Q,2018,2,1832,0
E7,2019,10,2552,0
PFQ,2018,7,25361,0
MS,2018,6,11230,15790
ELL,2018,5,408,25
GFQ,2019,6,55305,0
YV,2018,1,323991,1023010
FX,2019,6,1246912,0
CI,2019,2,185262,56602
MS,2019,6,22916,21874
9S,2018,3,77687,0
5D,2018,7,42689,84942
OZ,2019,12,151892,145497
MS,2018,1,11230,13998
F9,2019,4,1371771,1685955
SA,2019,6,34538,28431
PY,2019,11,9413,3984
2LQ,2019,6,13278,1907
4O,2019,5,71341,212815
OO,2019,10,1394870,3739568
LX,2018,6,93489,140720
EW,2018,8,69130,36016
LXQ,2019,10,15371,9
3S,2019,7,64125,0
AJQ,2018,4,14278,5370
DI,2019,2,94266,123501
EM,2019,7,14748,20734
2OQ,2018,11,1364,1585
HU,2018,7,143744,72956
NZ,2019,6,110768,84212
BX,2019,11,7168,8300
1ZQ,2018,9,18098,28
DL,2019,5,3524116,14401167
ZX,2018,5,20739,98894
2O,2018,9,7863,2317
PS,2019,10,9388,16481
AI,2019,4,91056,61165
SE,2019,9,38982,24282
SQ,2019,1,125812,86311
5C,2019,2,40598,0
F9,2018,5,1044051,1729577
1BQ,2018,3,15444,13241
B0,2019,12,7296,5689
ZX,2018,3,19762,93195
4M,2018,8,12914,11829
O6,2018,6,25637,22083
S4,2018,12,9388,6514
TP,2019,6,82968,95061
JQ,2019,10,21140,23584
OR,2018,10,18304,4613
RU,2018,11,111888,0
EY,2018,11,84463,48690
17Q,2018,2,10975,2
4M,2019,7,8812,11369
9X,2019,2,6422,5442
MF,2018,6,55030,22502
NQ,2019,1,7638,12536
FYQ,2019,5,7504,4
PY,2019,1,8375,3564
2O,2018,1,5073,983
M6,2018,5,109832,0
LP,2019,6,21870,44319
3M,2018,6,13270,70465
J5,2019,9,9878,7771
HA,2019,2,229363,854663
KU,2018,5,12704,15370
9X,2018,5,6786,8096
QX,2018,7,74356,667426
JU,2019,11,9022,3660
ABX,2018,1,170002,0
CP,2019,1,111208,508322
0QQ,2019,7,4232,99
22Q,2018,6,1580,0
3E,2019,3,5482,6191
2O,2019,10,7071,1794
1QQ,2018,4,90,1892
ABX,2019,2,136293,0
9E,2018,3,318733,1122341
UO,2019,1,2138,2931
0J,2018,1,11732,2
LXQ,2019,5,8345,3
KE,2018,5,378207,257241
V8,2019,8,22251,1867
UP,2019,2,7052,31899
H6,2019,7,108537,22142
PO,2018,11,186267,0
BC,2019,12,2920,6586
VH,2018,8,2776,4714
1AQ,2018,5,10964,4619
2E,2019,8,936,2797
WS,2018,1,389936,498409
PO,2019,10,198232,0
YR,2019,12,2680,6200
2OQ,2019,8,1458,2222
KS,2018,11,14638,10451
OZ,2018,6,144695,151448
YV,2019,2,319797,1077185
B6,2019,9,878026,3211421
KX,2018,12,8825,15415
KD,2018,1,88794,0
LY,2019,6,139941,85608
27Q,2018,5,366913,1429
KH,2019,6,1618,0
SA,2019,9,30532,29393
OJ,2018,9,13913,9119
0WQ,2019,6,17000,28
3DQ,2019,6,627,1878
EQ,2019,9,3882,4773
22Q,2018,4,632,22
KX,2019,5,9571,15171
SK,2018,12,168316,89249
TK,2018,9,192026,186682
9V,2018,6,5944,8657
ABX,2018,2,149007,0
O6,2019,2,25637,18536
8V,2019,6,36237,7333
1XQ,2018,1,11688,12
VI,2019,3,474,10023
UP,2018,2,6956,30477
CC,2019,4,32703,0
EI,2019,9,111130,232738
22Q,2019,8,948,0
2HQ,2019,12,19168,2264
C5,2018,12,53652,171904
BR,2019,11,129131,165250
SE,2018,7,38954,45475
NQ,2019,5,7638,10921
OS,2019,10,75966,69717
AY,2018,2,18602,14655
CV,2019,7,192536,0
3AQ,2018,12,603,306
AR,2019,8,19376,33609
AX,2018,4,117107,311479
CC,2018,7,30153,0
HBQ,2019,1,1497,460
5Y,2019,4,542100,403
DY,2019,12,247329,141332
MS,2019,3,11230,19314
S4,2018,10,9388,9838
NEW,2019,6,68,3193
AMQ,2019,2,51148,1312
D8,2018,10,79469,46714
KX,2019,10,5607,13665
VIQ,2018,12,44223,0
1YQ,2019,10,1026,873
NK,2018,8,709018,2792737
LY,2019,7,157797,86132
MQ,2019,11,406000,1207995
KX,2019,7,16966,21994
SVW,2019,4,14482,17
L7,2019,2,45677,0
2JQ,2018,8,5166,18713
LA,2018,11,162613,67186
M7,2019,9,5689,0
GCQ,2019,4,14486,12
AC,2019,3,354968,482109
13Q,2019,7,45899,330
K3,2019,2,3270,334
DL,2018,1,4557245,10530321
EK,2018,8,241860,322935
D7,2018,8,8234,15098
KLQ,2018,5,57754,0
HBQ,2018,11,1213,568
B6,2018,3,847941,3663383
ADB,2018,4,10504,0
G7,2019,10,162441,343357
UO,2019,5,2138,2830
Q6,2019,1,16992,13242
DL,2018,5,3746300,13310436
CC,2019,5,27167,0
NH,2018,11,146294,139537
QT,2018,5,8427,0
SNK,2018,4,1176,669
6R,2019,7,18580,0
AJQ,2018,8,7356,7185
C8,2018,2,19830,0
GL,2018,7,61713,9640
BW,2019,2,35426,47662
7L,2018,1,24018,0
15Q,2019,5,76676,54
L7,2018,8,61129,0
DHQ,2019,8,7187,0
TR,2018,12,8234,7859
JU,2019,12,9022,4350
36Q,2019,7,21834,22
2EQ,2018,5,216,67
KL,2018,6,200549,200591
AX,2018,11,114904,241823
FI,2018,7,137292,172144
BF,2019,4,19560,15681
O6,2018,3,29661,18987
SEB,2018,11,3724,13228
GCQ,2019,8,18431,21
TR,2018,10,8234,7502
K3,2019,3,3555,413
KO,2019,3,35448,583
EQ,2018,2,9526,14412
5V,2018,10,46319,485
5J,2018,8,3194,3436
LH,2018,6,539992,600992
1TQ,2018,10,2104,0
PO,2018,12,208139,0
15Q,2018,11,50490,31
OS,2018,11,34394,28558
9E,2018,2,302625,856848
KU,2019,12,12704,17082
OS,2018,3,63190,32838
CZ,2018,5,113222,75059
AMQ,2018,11,41480,276
SV,2018,6,69118,33393
DY,2018,6,518762,246540
JJ,2019,12,85072,112540
IG,2019,9,41822,35119
RJ,2019,2,36484,15392
7L,2018,12,24447,0
JL,2018,10,172405,208987
NLQ,2018,12,13698,72
AM,2018,1,140716,273518
2TQ,2019,1,1144,311
BCQ,2018,4,7890,415
3BQ,2018,11,304,454
0UQ,2018,9,9098,7
LA,2018,1,167376,82146
CK,2018,3,31301,0
H6,2019,2,90905,15370
IB,2018,9,161755,142567
PR,2019,5,98482,109683
VI,2018,7,440,6967
07Q,2018,1,1826,0
RV,2019,5,77580,256862
2O,2019,6,10978,2346
SU,2018,3,64146,69717
AM,2019,10,64981,150105
SN,2018,5,15118,22953
X4,2018,8,1148,1803
0WQ,2018,2,107415,414
DI,2018,6,102344,166246
QR,2019,12,176152,187772
YX,2018,10,580892,1628022
BR,2018,11,156569,161452
ET,2018,3,46556,25901
KZ,2019,12,40735,0
MS,2019,9,22916,21212
CA,2019,1,160789,140437
UA,2019,3,5277750,9992066
BW,2018,9,36506,54238
FI,2018,4,112744,83998
C5,2018,9,43632,170926
L2,2019,8,33851,0
JL,2019,3,197418,210203
5C,2019,12,64914,0
ABX,2018,11,125166,0
BW,2019,3,35426,61807
EV,2018,2,411350,778430
W8,2019,12,39677,0
KQ,2018,11,14720,6002
X9,2018,3,65012,9445
J5,2018,5,11750,7913
XL,2019,5,5940,13093
AA,2019,1,2990291,11890601
GCQ,2018,11,9697,11
AV,2018,12,115826,165716
ZX,2018,6,20392,116772
WW,2018,10,93390,110026
M7,2018,10,6996,0
DL,2018,8,3939015,14550128
NQ,2019,2,7638,11835
PY,2018,8,15228,5937
4C,2018,8,3012,8542
DE,2019,2,30536,12138
4B,2018,5,16124,15855
3M,2018,8,13264,58761
1TQ,2019,4,2035,0
DY,2018,2,413434,243085
7C,2018,12,25965,53846
VS,2019,9,220162,458695
CRV,2018,11,8260,10
KAQ,2019,12,372409,0
QR,2018,7,176152,189391
MQ,2018,3,340899,1137011
E7,2018,3,2552,0
L7,2019,7,42033,0
U7,2019,6,160235,0
TK,2018,5,203822,187943
CP,2019,7,77359,618733
EV,2018,12,263395,602832
3U,2018,2,34076,22025
BR,2019,3,134412,163225
8C,2018,11,143766,0
OO,2018,8,1333317,3641579
LY,2019,4,111440,73181
LV,2018,9,7296,2924
TB,2018,7,9288,4476
5D,2019,1,56245,63615
JU,2019,5,9022,5439
3AQ,2018,2,1866,380
7H,2019,1,18293,26178
RV,2019,7,104311,247656
0Q,2018,7,11876,4
ADB,2019,4,26116,0
1SQ,2018,11,2120,6493
SU,2018,11,63446,58828
7L,2018,7,30889,0
X9,2019,11,87979,21661
S4,2018,1,9388,6500
CZ,2019,7,125926,99859
L7,2018,5,37893,0
HU,2018,9,185880,74416
W8,2019,1,20625,0
CC,2018,1,30674,0
BF,2019,5,19560,15596
KQ,2019,5,14720,8168
MU,2019,10,94020,110706
LF,2018,9,119969,9063
K2,2018,12,13344,2946
AMQ,2019,5,33836,715
10Q,2018,9,320,2
AC,2018,4,204027,406711
Q5,2018,12,452,50
LF,2019,3,99163,14157
N8,2018,9,44377,1896
KZ,2018,11,38635,0
MW,2018,11,2074,20842
ET,2018,4,46556,26632
Q5,2018,1,995,35
JU,2018,8,9022,11992
CAZ,2018,5,35226,23
GCQ,2018,12,9988,19
WG,2018,2,27991,25311
CA,2018,6,173151,140988
HY,2019,3,12678,3612
DHQ,2019,11,8032,0
0QQ,2018,11,24185,81
VA,2018,1,45134,43058
BW,2018,11,36506,64672
KV,2019,1,25636,151141
IG,2019,6,41822,33642
GL,2018,5,99465,10879
D7,2018,12,8234,14343
5J,2019,1,3194,3513
LV,2018,12,7296,7177
1XQ,2018,10,20038,16
12Q,2019,2,15816,5
TP,2019,10,68779,91212
RV,2018,11,98314,297016
KLQ,2018,8,76597,0
SEB,2019,7,4240,24398
WL,2018,12,72934,9427
PH,2019,2,468,4498
BX,2018,5,3584,7204
AAT,2019,6,1138,1688
8R,2019,2,19364,1705
DHQ,2018,5,7287,0
MU,2019,11,94020,114288
AA,2018,1,3015630,11296526
BY,2019,3,8554,97
3S,2019,12,83857,0
GV,2018,7,37562,13092
ZX,2019,12,5260,19327
FJ,2019,3,53488,17404
GCH,2018,10,59,0
4W,2019,3,2464,1285
AA,2018,12,3286406,12168326
B0,2018,3,14626,4975
AZ,2018,8,80764,123612
12Q,2019,7,9131,6
QF,2019,3,155043,129345
Y4,2019,8,395328,313111
HY,2019,6,12678,6193
SNK,2019,12,1062,393
UO,2019,4,2138,2474
9K,2019,3,8809,33636
EV,2018,3,408080,921724
RVQ,2018,3,326,6
3BQ,2018,8,304,100
LV,2019,6,7296,9047
PS,2019,6,9388,20313
3E,2018,5,5480,6857
VJT,2018,1,4358,3
KAQ,2018,6,261620,0
3F,2019,7,2388,3143
J2,2018,8,11662,3095
KS,2019,6,7562,12890
2TQ,2018,5,1652,492
AX,2018,8,117561,318157
JD,2018,3,3828,4494
0QQ,2018,1,35857,97
YR,2019,7,6644,18821
LXQ,2019,9,24087,23
Q6,2019,7,16992,15592
1BQ,2019,2,20527,4717
CRV,2018,4,3668,8
PH,2018,8,468,7593
SK,2019,2,168468,67682
N8,2018,10,50824,1896
KH,2019,11,1702,0
CX,2018,10,214131,186511
XL,2018,10,5940,12012
LXQ,2018,7,20585,7
NK,2019,6,1215626,3089604
HBQ,2019,4,950,801
0CQ,2019,1,14214,8
2GQ,2019,8,1683,0
KLQ,2019,3,55714,0
TQQ,2018,5,5216,13718
CV,2018,6,196772,0
BA,2018,3,463504,578373
DY,2019,7,529831,355870
TR,2018,11,8234,7062
