unique_carrier,year,month,distance,passengers
9K,2018,2,8974,39224
J5,2018,3,7222,4250
WW,2018,11,53228,62971
LY,2018,8,102917,88285
QX,2018,1,89894,521722
CX,2018,2,188347,158335
CP,2018,12,95632,544339
7L,2019,9,12356,0
2JQ,2018,3,4014,13579
14Q,2019,1,29530,213
FX,2018,7,1205901,0
X9,2019,1,41928,11019
RV,2018,2,132816,374898
G4,2018,9,856658,809694
KX,2019,12,12789,22967
HX,2019,1,32650,61732
MS,2019,2,11230,14116
1ZQ,2018,1,15312,192
NQ,2018,6,7638,13337
SVW,2019,12,11422,12
L2,2018,3,13505,0
AV,2018,10,101302,144368
5X,2018,2,930228,0
AAT,2019,1,1356,1566
EY,2018,3,152797,90694
LR,2018,3,23879,26879
W8,2019,5,26590,0
NK,2018,5,759412,2522719
3DQ,2019,7,627,1982
2UQ,2019,11,5914,5
PY,2018,3,6204,5053
OH,2019,8,315824,1315003
2TQ,2019,8,2292,587
MT,2019,9,89376,51179
LO,2019,10,207930,73152
XP,2019,11,4990,1370
9X,2019,11,7140,8298
I4,2019,5,1975,1733
0CQ,2018,8,13583,3
AZ,2019,7,83580,130290
SK,2019,8,110087,126871
DHQ,2019,4,6170,0
SQ,2018,10,178945,85549
AM,2018,12,132794,281379
ADB,2018,11,25163,0
AAT,2019,9,1278,821
17Q,2019,2,11772,3
QX,2018,8,93402,653329
EI,2019,2,97868,103450
24Q,2018,4,4682,2
LO,2018,11,110200,42916
LY,2018,4,105692,64452
YV,2018,4,270535,1122757
K3,2018,8,4075,8773
VB,2019,5,31648,42395
SE,2018,11,7270,8986
6R,2018,5,24748,0
LJ,2018,3,7586,20151
8C,2018,8,81734,0
L7,2019,5,43642,0
JQ,2018,7,21140,24592
CAZ,2018,9,21147,11
4W,2019,1,6105,1103
9X,2019,8,8312,10618
ELL,2019,12,408,2
2UQ,2019,5,3900,2
MQ,2018,9,323853,1098944
SU,2018,12,63446,62179
TP,2018,2,53288,46407
NC,2018,3,35469,0
EW,2018,10,69130,30578
M7,2018,7,6965,0
AM,2019,12,86498,242542
BY,2018,5,76296,22514
HA,2018,10,274618,955592
C8,2019,8,33971,0
LF,2019,9,91145,20843
AV,2019,9,118012,149370
9X,2019,4,7278,6935
LR,2019,9,26198,24773
2HQ,2019,4,14350,3531
FYQ,2018,6,7262,10
WN,2018,4,2545974,14164211
LP,2018,12,19140,45733
SQ,2018,12,152067,88018
2EQ,2019,4,216,63
Y4,2018,3,381392,241047
L2,2018,4,25946,0
L7,2018,12,39897,0
NLQ,2019,5,4636,85
7H,2018,1,18377,29540
AZ,2018,1,56368,53183
LA,2018,8,147912,79792
NLQ,2019,1,9335,56
12Q,2018,9,14442,19
C8,2019,11,33971,0
GCH,2019,4,59,0
NZ,2019,8,110432,90019
LR,2019,5,31965,30596
6R,2019,3,23238,0
PFQ,2019,9,21448,0
I4,2018,10,3327,2035
0WQ,2018,4,160391,554
JD,2018,10,3828,2603
SEB,2018,8,3724,22977
RV,2019,9,103359,162497
AI,2018,4,102075,70453
2UQ,2018,10,19240,82
NQ,2018,12,7638,12065
5J,2018,6,3194,4072
TS,2019,2,45826,35911
1QQ,2019,6,90,1997
NEW,2018,1,68,1102
1QQ,2019,3,90,2268
2AQ,2018,12,1156,2
4C,2019,3,6024,8428
XP,2018,5,27635,18988
MP,2018,1,19532,0
IB,2019,6,157512,148107
AZ,2019,12,82944,70692
UP,2018,1,8719,33425
VH,2019,7,2776,9804
GFQ,2018,3,52075,0
TQQ,2018,6,5216,12327
H6,2019,12,83345,19929
3S,2019,11,99931,0
AD,2018,9,50124,45603
SQ,2019,5,122702,91056
04Q,2019,5,51634,3489
VIQ,2019,1,5908,0
DI,2018,12,165573,142695
9X,2019,1,7180,6307
13Q,2018,12,135497,439
MP,2018,2,19532,0
G3,2019,8,11058,22699
KE,2018,9,364922,236213
VI,2019,1,440,7851
W8,2019,9,34611,0
02Q,2019,8,1297,64
BC,2019,9,2920,780
BW,2019,1,38060,59076
K3,2018,6,4396,3906
KL,2019,12,235673,179777
CI,2019,3,169380,69458
TN,2019,4,19530,30433
QF,2018,8,165184,139531
1SQ,2019,2,1800,9894
SA,2018,2,34538,18627
LY,2018,11,73428,60465
2RQ,2018,3,10742,5
KS,2019,3,7293,8855
1UQ,2018,12,6046,14
MW,2019,4,2132,19083
OZ,2018,5,140605,143846
PR,2019,2,65158,80517
YX,2019,9,609329,1506420
M7,2018,8,6965,0
NQ,2019,4,7638,10921
LY,2019,8,138804,83353
8C,2019,7,132643,0
FI,2018,8,128926,177183
KL,2018,5,222406,192367
KLQ,2019,12,76074,0
P3,2018,6,57631,0
SV,2019,1,69118,35155
BA,2019,10,472436,681831
AT,2019,2,14878,10854
WRD,2018,7,176,10
8E,2018,4,43119,10086
AD,2019,11,50124,47613
XL,2019,6,5940,12720
AD,2019,1,60306,63982
ZW,2018,6,87803,339747
13Q,2018,4,110380,479
E7,2018,4,2552,0
X4,2019,2,410,162
X4,2018,10,738,349
KZ,2018,1,60172,0
1TQ,2018,7,2221,0
H6,2019,11,87239,18981
U7,2018,2,149942,0
GCH,2018,2,59,0
C5,2019,10,59195,233557
OH,2018,12,293565,1102023
IFQ,2019,1,33135,48
OJ,2018,5,16452,8113
X9,2019,7,56695,21589
DY,2018,5,544200,236407
EW,2018,6,69130,29057
TA,2019,4,89600,118363
QX,2018,12,100252,656164
2GQ,2018,1,10900,0
ADB,2019,8,11247,0
C8,2018,9,19830,0
VS,2019,12,241623,323806
NK,2019,7,1178820,3288736
CX,2019,3,210100,197583
N8,2019,3,42130,0
L7,2018,10,52385,0
KAH,2019,1,2272,2863
SNK,2019,9,1724,739
WST,2019,10,160,52
L7,2018,2,24218,0
DHQ,2019,2,5304,0
G4,2019,11,1029358,1137787
HX,2019,11,14520,7972
G7,2019,6,205433,439887
EW,2019,4,34002,35197
UX,2018,7,23964,32814
NK,2019,9,1277766,2549418
S4,2018,3,16477,7276
WS,2019,5,260474,413486
TP,2018,4,71398,61627
SK,2019,6,120678,135030
0J,2019,3,1679,3
1SQ,2018,6,1368,7919
AAT,2019,7,1278,1878
VJT,2018,5,311066,321
C5,2018,8,44347,179614
XP,2018,3,133811,31939
EW,2019,9,44934,35880
8E,2018,8,55957,11542
AS,2019,7,1524522,3464893
3E,2019,6,6014,6737
NZ,2018,10,114054,96358
VIQ,2018,11,69803,0
SNK,2018,9,1876,672
BF,2019,6,19560,17842
VA,2018,12,45134,47783
PO,2019,4,189128,0
OO,2019,8,1411818,3904017
AR,2019,11,19376,29146
LJ,2018,4,7586,18896
WW,2018,12,63334,55105
4B,2018,8,14173,15275
17Q,2019,8,7372,5
2TQ,2018,9,2045,241
KD,2018,12,158551,0
RVQ,2019,7,326,86
JD,2019,1,3828,3893
PEQ,2018,4,1644,0
2HQ,2019,7,28758,2523
3SD,2019,9,2632,1041
QX,2019,1,108137,614617
8V,2018,3,36280,6195
XL,2019,1,5940,11689
27Q,2019,8,207725,704
LP,2019,7,23682,45401
I4,2019,1,3565,1305
C8,2018,1,19830,0
GV,2019,5,37706,15578
5V,2019,12,44864,432
2RQ,2018,2,9519,13
AV,2019,12,102384,151570
TP,2019,4,43196,64166
1BQ,2018,7,52712,41169
9E,2019,12,405524,1394545
9S,2018,2,64444,0
AA,2018,7,3220268,13863198
AAT,2019,4,1138,1331
B0,2018,2,7298,3521
3M,2018,12,9886,46621
EM,2019,11,15354,0
TK,2019,3,238728,160737
W8,2019,8,16443,0
AN,2019,4,22910,2781
BR,2018,10,145715,157465
NQ,2018,3,7638,3238
RVQ,2018,5,326,37
F9,2019,3,1247764,1748033
D8,2019,7,21849,27240
CA,2018,1,169609,129482
27Q,2018,8,358306,1310
NH,2018,8,156602,170369
VH,2018,1,2776,5881
IG,2018,11,17850,11376
9E,2018,4,312794,1172195
OZ,2018,1,131461,144387
PR,2018,6,83160,92699
PD,2019,5,4478,85065
0QQ,2019,3,15517,56
U7,2018,9,143545,0
AMQ,2018,5,74000,940
9S,2019,5,83110,0
C5,2018,1,39996,102373
V8,2018,1,8376,814
YV,2018,12,301043,1199280
K3,2018,2,3559,308
NQ,2019,3,7638,12775
LF,2019,12,107894,13833
AF,2019,6,313940,413054
EK,2018,11,251745,257528
C5,2018,11,43800,170984
PEQ,2018,6,1888,0
DL,2018,11,3886779,12235982
13Q,2018,6,86268,510
K2,2018,9,25265,3589
WN,2018,3,2440579,14702736
PFQ,2018,10,25619,0
KV,2019,9,24745,213265
GCH,2019,5,59,0
VJT,2019,6,423034,500
VH,2018,4,2776,3056
NH,2018,3,159769,145417
NC,2019,1,48329,0
AD,2019,2,56669,41279
LR,2019,6,22020,26775
OH,2018,8,271650,1219651
E7,2019,3,2552,0
ADB,2019,11,12333,0
DI,2019,5,134489,167694
M7,2018,2,5689,0
VIQ,2019,2,13383,0
VW,2018,2,934,1029
WN,2018,10,3179052,14398320
CM,2018,1,83486,232036
7L,2019,2,19034,0
U7,2018,5,143277,0
07Q,2018,11,1192,1119
BX,2019,2,7168,8330
HY,2018,8,8406,5232
OZ,2018,11,155470,102025
5D,2018,1,43940,68280
AS,2018,4,1491711,3069054
HA,2018,2,226070,883597
CZ,2019,10,125580,72580
VH,2019,3,4944,3209
J2,2019,11,11662,1309
SK,2018,3,144771,103069
ZW,2019,1,90743,280720
0WQ,2018,9,81132,188
L2,2019,7,33494,0
PM,2019,12,921,0
OS,2019,1,43824,32153
TK,2019,12,180861,171906
OS,2019,8,75966,74818
WL,2018,7,83662,19631
5X,2018,6,950506,0
NLQ,2018,6,4662,63
MP,2019,9,22140,0
KX,2019,4,12789,18952
CK,2019,2,31301,0
X4,2019,10,246,485
1ZQ,2018,3,12988,60
SQ,2019,4,122702,84665
CC,2018,9,55522,0
JQ,2018,11,21140,17232
FYQ,2019,4,10522,4
WI,2019,1,63586,0
L7,2018,4,39095,0
6R,2019,2,23238,0
1YQ,2019,11,1150,1115
EM,2019,6,15218,18849
ABX,2018,10,115087,0
FI,2018,3,117194,87950
AI,2018,1,86661,78229
EV,2018,5,281440,812171
CX,2018,7,172585,205913
VJT,2018,7,287430,332
J5,2019,5,9916,8179
L7,2019,9,39286,0
CP,2018,11,99141,528499
1UQ,2019,3,10901,17
RU,2019,11,98360,0
MT,2019,7,97506,82908
4W,2019,8,8154,2891
ET,2018,10,61710,30439
PEQ,2018,3,1644,0
LO,2019,2,139528,29604
KAT,2018,10,940,66
SK,2019,11,153690,90394
PH,2018,11,468,6098
TA,2018,8,90601,114415
SU,2018,9,51990,91660
HX,2019,4,32650,29931
MF,2019,1,55030,23596
VH,2018,3,2776,2191
B6,2018,12,905012,3543250
5X,2019,9,1034761,0
SU,2019,3,69524,58961
30Q,2018,8,772,64
7L,2019,12,12356,0
RU,2018,6,151896,0
Y8,2018,1,7057,0
XL,2018,8,8910,17556
BA,2018,8,394900,701048
OS,2019,11,54262,43071
FJ,2019,9,58684,20666
OZ,2018,2,138953,131341
7H,2018,4,15249,31128
M7,2018,3,5412,0
KQ,2019,7,14720,12835
WST,2018,7,160,956
Z3Q,2018,10,140,1779
MF,2019,10,42060,17478
TN,2019,1,19530,23519
PH,2018,7,468,8362
PD,2019,4,6624,72880
CP,2018,7,78605,592391
EW,2019,1,34002,19149
HBQ,2018,6,1873,762
AY,2019,10,49576,38246
PFQ,2018,5,27641,0
HU,2019,12,184104,66307
CX,2019,8,224583,203372
8C,2019,12,147393,0
CA,2019,6,160789,162611
AMQ,2018,6,62070,777
LX,2019,6,105310,145020
04Q,2018,5,63312,3957
BA,2019,11,395738,565809
2RQ,2018,6,5668,8
MP,2018,8,21319,0
J5,2019,7,10741,11915
PF,2018,6,42575,28000
AJQ,2018,2,50377,6895
2LQ,2018,10,13895,1360
GL,2019,3,259654,23376
CA,2019,7,160789,160317
W8,2018,6,21761,0
UP,2019,7,9770,60986
RVQ,2018,9,326,30
WI,2018,12,111274,0
9X,2018,9,6904,8594
P3,2018,3,53463,0
1XQ,2018,12,11694,9
2OQ,2018,8,1270,1619
AC,2019,12,246284,314259
VA,2018,11,45134,39121
ELL,2019,9,408,46
SY,2019,8,425665,394367
HA,2019,9,268642,914406
LO,2019,1,132528,34852
YR,2018,10,5485,18943
GEQ,2019,6,57718,65
PS,2018,7,9388,18141
0CQ,2019,9,18657,24
AV,2018,6,94430,143640
AD,2019,7,54504,62486
2AQ,2019,4,10996,8
1WQ,2018,12,3422,3712
AM,2019,8,66159,235313
OS,2019,2,46668,26075
PP,2018,4,7929,4
DL,2019,12,4431828,13359874
K2,2018,5,12196,1700
LV,2019,3,7296,5852
UA,2018,1,4591163,7889253
SY,2018,6,346775,262842
R3,2018,7,3916,368
D7,2018,3,8234,12177
CP,2018,4,82182,525217
6R,2019,4,25925,0
IB,2019,10,181096,134887
X4,2018,12,328,149
BC,2019,3,2920,2020
4C,2019,1,3012,9029
WL,2018,1,74169,12135
SN,2019,6,15118,27148
UP,2018,10,12389,32526
LY,2019,12,157823,72035
LO,2018,12,137896,42279
OR,2019,6,18304,4998
SA,2018,5,34538,24696
LJ,2018,11,7586,28855
MT,2019,8,77001,89057
LA,2019,5,177724,85649
4O,2019,1,79992,209027
Y4,2019,10,374140,280425
DHQ,2018,7,7193,0
SVW,2019,1,5543,5
3SD,2019,12,2632,1041
2E,2018,12,172,1312
SK,2018,7,131519,141843
KH,2019,12,1618,0
TQQ,2019,6,16396,14705
G4,2018,4,1032833,1170542
CM,2018,11,107676,233203
VB,2019,4,33237,39030
NEW,2019,10,68,2378
BW,2019,11,35426,63257
VIQ,2019,9,21434,0
CI,2018,9,158890,63052
9S,2019,4,67862,0
JJ,2019,11,72708,105485
AZ,2019,3,68886,70636
9K,2018,4,10172,46917
2UQ,2018,4,5152,4
7H,2018,6,25666,39785
TS,2018,7,12290,8511
AD,2018,12,51413,67363
0Q,2019,1,3785,2
PEQ,2018,10,1644,0
GL,2019,12,144253,9251
5D,2018,11,45577,66344
PH,2019,9,470,5479
KX,2019,6,12789,16208
SVW,2018,8,15756,9
K3,2019,4,2626,512
AC,2018,11,215754,398885
E7,2018,10,2552,0
FX,2018,8,1216487,0
PY,2019,8,10494,6002
3F,2019,1,777,158
NEW,2019,9,68,4491
WW,2018,2,69697,56215
ABX,2019,12,149208,0
VH,2018,10,2776,4004
MS,2019,1,11230,17675
1YQ,2018,11,837,22
SE,2019,7,38982,50114
TS,2018,2,28902,22222
AR,2018,10,23782,33834
2GQ,2018,8,3306,0
OR,2018,11,18304,4784
KZ,2018,12,27723,0
2AQ,2018,11,4213,2
EI,2019,1,103658,128162
UP,2018,6,8290,48846
MQ,2018,10,329829,1200293
3E,2019,7,6450,7283
MP,2019,2,23938,0
CP,2019,3,81515,606948
TQQ,2019,9,5216,12839
BF,2019,8,19560,20228
2AQ,2019,7,13034,12
UO,2018,6,2138,2859
AD,2018,2,56206,51201
AI,2019,12,91056,73716
QF,2019,6,180263,138869
7S,2018,3,46916,154
5V,2018,8,67928,575
R0,2018,12,242,118
SY,2019,6,387233,351363
SVW,2019,5,2174,11
KL,2019,4,242829,189084
KO,2018,6,46327,1509
3EQ,2019,8,130796,533
10Q,2019,2,6402,5
KLQ,2018,11,85805,0
UA,2018,3,4560387,9310527
10Q,2019,5,5656,3
QT,2019,1,8427,0
LY,2019,10,114380,69804
GCH,2018,5,59,372
CZ,2019,2,125062,74199
2O,2019,2,4120,1011
DI,2019,10,134930,166367
BW,2018,5,36506,60947
AS,2018,3,1123491,2335393
BCQ,2018,5,2098,186
2UQ,2019,8,29733,53
KE,2019,8,364032,280966
27Q,2019,4,390710,1262
L7,2018,7,44865,0
0QQ,2018,7,13775,165
12Q,2019,1,10877,8
34Q,2018,5,3477,2
14Q,2018,11,31256,255
LV,2019,2,7296,4780
VB,2019,7,42251,60793
WG,2018,6,2446,1978
GEQ,2019,2,47010,40
3BQ,2019,12,1402,1028
M3,2019,7,54114,0
FI,2019,2,101396,60462
NH,2018,10,146294,147899
LX,2018,8,97448,157630
1ZQ,2018,8,47877,421
HX,2018,4,32650,54350
MU,2018,11,94020,105542
TQQ,2019,10,5216,12614
